Series Name,Series Code,Country Name,Country Code,2014 [YR2014]
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Paraguay,PRY,8501.54353959203
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Peru,PER,11545.3876412251
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Philippines,PHL,6585.8959487121
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Poland,POL,24346.2065619407
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Portugal,PRT,26023.6736207204
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Puerto Rico,PRI,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Qatar,QAT,120860.06755829
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Romania,ROU,19666.9527029716
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Russian Federation,RUS,24880.0815142893
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Rwanda,RWA,1615.52333612209
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Samoa,WSM,5511.1631119163
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,San Marino,SMR,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Sao Tome and Principe,STP,2893.36956670752
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Saudi Arabia,SAU,49958.44333723
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Senegal,SEN,2220.75481968255
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Serbia,SRB,13112.8166471251
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Seychelles,SYC,25218.4090907832
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Sierra Leone,SLE,1692.1420670707
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Singapore,SGP,80305.4498844556
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Sint Maarten (Dutch part),SXM,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Slovak Republic,SVK,27237.623232657
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Slovenia,SVN,28459.9143442423
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Solomon Islands,SLB,2020.71477627807
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Somalia,SOM,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,South Africa,ZAF,12462.0264519479
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,South Sudan,SSD,1989.56025643488
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Spain,ESP,31193.3262140462
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Sri Lanka,LKA,10650.3886307795
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,St. Kitts and Nevis,KNA,23483.0123814268
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,St. Lucia,LCA,10522.3666056644
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,St. Martin (French part),MAF,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,St. Vincent and the Grenadines,VCT,10307.2224276766
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Sudan,SDN,4188.33481399507
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Suriname,SUR,15323.1964180229
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Swaziland,SWZ,8084.09979691064
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Sweden,SWE,44167.6318669891
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Switzerland,CHE,56680.436499409
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Syrian Arab Republic,SYR,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Tajikistan,TJK,2546.50048351137
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Tanzania,TZA,2402.0993456211
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Thailand,THA,14853.4645255668
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Timor-Leste,TLS,2110.31481184208
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Togo,TGO,1315.3402595533
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Tonga,TON,5030.95511777156
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Trinidad and Tobago,TTO,31595.5600105422
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Tunisia,TUN,10751.4460749743
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Turkey,TUR,22401.8804311394
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Turkmenistan,TKM,14332.3657698371
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Turks and Caicos Islands,TCA,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Tuvalu,TUV,3265.84697371187
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Uganda,UGA,1666.47791727348
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Ukraine,UKR,8243.47351509088
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,United Arab Emirates,ARE,64126.8920864343
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,United Kingdom,GBR,37983.1331850652
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,United States,USA,51830.9905658402
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Uruguay,URY,19827.5649843219
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Uzbekistan,UZB,5370.86580208835
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Vanuatu,VUT,2892.34160435097
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Venezuela, RB",VEN,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Vietnam,VNM,5370.20997993582
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Virgin Islands (U.S.),VIR,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,West Bank and Gaza,PSE,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Yemen, Rep.",YEM,3766.8060009874
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Zambia,ZMB,3632.50375331402
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Zimbabwe,ZWE,1908.4775944695
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Arab World,ARB,15140.192880374
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Caribbean small states,CSS,14436.3101209475
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Central Europe and the Baltics,CEB,23446.6045510243
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Early-demographic dividend,EAR,7969.64997204203
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,East Asia & Pacific,EAS,14518.4666779539
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,East Asia & Pacific (excluding high income),EAP,11520.243340064
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,East Asia & Pacific (IDA & IBRD countries),TEA,11643.1045004683
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Euro area,EMU,37097.4757878672
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Europe & Central Asia,ECS,28353.2534586787
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Europe & Central Asia (excluding high income),ECA,18460.5670325469
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Europe & Central Asia (IDA & IBRD countries),TEC,18957.1532801412
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,European Union,EUU,34940.6047471768
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Fragile and conflict affected situations,FCS,3802.18165671903
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Heavily indebted poor countries (HIPC),HPC,2002.05183159958
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,High income,HIC,42058.1037076242
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,IBRD only,IBD,11283.2917788184
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,IDA & IBRD total,IBT,9295.06623429884
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,IDA blend,IDB,4709.13621881959
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,IDA only,IDX,2504.02602854541
